Latitude,Longitude,LocationTime,ShipmentNumber
52.043265,-2.170384,1/29/2021 8:44,SEZHUK-210127-000836
52.043125,-2.170389,1/29/2021 8:44,SEZHUK-210127-000836
52.043197,-2.170346,1/29/2021 8:44,SEZHUK-210127-000836
52.043229,-2.170348,1/29/2021 8:44,SEZHUK-210127-000836
52.043238,-2.170332,1/29/2021 8:45,SEZHUK-210127-000836
52.043221,-2.170315,1/29/2021 8:45,SEZHUK-210127-000836
52.043215,-2.170304,1/29/2021 8:45,SEZHUK-210127-000836
52.043201,-2.170294,1/29/2021 8:45,SEZHUK-210127-000836
52.043207,-2.17029,1/29/2021 8:46,SEZHUK-210127-000836
52.043207,-2.170295,1/29/2021 8:46,SEZHUK-210127-000836
52.043201,-2.170237,1/29/2021 8:46,SEZHUK-210127-000836
52.043213,-2.170281,1/29/2021 8:46,SEZHUK-210127-000836
52.043208,-2.170305,1/29/2021 8:47,SEZHUK-210127-000836
52.043219,-2.170297,1/29/2021 8:47,SEZHUK-210127-000836
52.043225,-2.170284,1/29/2021 8:47,SEZHUK-210127-000836
52.043223,-2.170276,1/29/2021 8:47,SEZHUK-210127-000836
52.043217,-2.170279,1/29/2021 8:47,SEZHUK-210127-000836
52.043212,-2.170274,1/29/2021 8:47,SEZHUK-210127-000836
52.043215,-2.170278,1/29/2021 8:48,SEZHUK-210127-000836
52.043224,-2.170278,1/29/2021 8:48,SEZHUK-210127-000836
52.043228,-2.170277,1/29/2021 8:48,SEZHUK-210127-000836
52.043231,-2.170281,1/29/2021 8:48,SEZHUK-210127-000836
52.043233,-2.170282,1/29/2021 8:49,SEZHUK-210127-000836
52.043231,-2.170285,1/29/2021 8:49,SEZHUK-210127-000836
52.04323,-2.170288,1/29/2021 8:49,SEZHUK-210127-000836
52.043412,-2.170307,1/29/2021 8:49,SEZHUK-210127-000836
52.043255,-2.170271,1/29/2021 8:50,SEZHUK-210127-000836
52.043219,-2.170386,1/29/2021 8:50,SEZHUK-210127-000836
52.043197,-2.170349,1/29/2021 8:50,SEZHUK-210127-000836
52.043197,-2.17035,1/29/2021 8:50,SEZHUK-210127-000836
52.043195,-2.170359,1/29/2021 8:51,SEZHUK-210127-000836
52.043205,-2.170345,1/29/2021 8:51,SEZHUK-210127-000836
52.043093,-2.170583,1/29/2021 8:51,SEZHUK-210127-000836
52.04326,-2.170326,1/29/2021 8:51,SEZHUK-210127-000836
52.043238,-2.17033,1/29/2021 8:52,SEZHUK-210127-000836
52.043234,-2.170337,1/29/2021 8:52,SEZHUK-210127-000836
52.043238,-2.17034,1/29/2021 8:52,SEZHUK-210127-000836
52.043233,-2.170341,1/29/2021 8:52,SEZHUK-210127-000836
52.043241,-2.170337,1/29/2021 8:53,SEZHUK-210127-000836
52.043232,-2.170333,1/29/2021 8:53,SEZHUK-210127-000836
52.04323,-2.170326,1/29/2021 8:53,SEZHUK-210127-000836
52.043135,-2.170124,1/29/2021 8:53,SEZHUK-210127-000836
52.043346,-2.170634,1/29/2021 8:54,SEZHUK-210127-000836
52.043227,-2.170254,1/29/2021 8:54,SEZHUK-210127-000836
52.043239,-2.17026,1/29/2021 8:54,SEZHUK-210127-000836
52.043205,-2.170248,1/29/2021 8:54,SEZHUK-210127-000836
52.043185,-2.170278,1/29/2021 8:55,SEZHUK-210127-000836
52.043191,-2.170289,1/29/2021 8:55,SEZHUK-210127-000836
52.043192,-2.170297,1/29/2021 8:55,SEZHUK-210127-000836
52.043188,-2.170298,1/29/2021 8:55,SEZHUK-210127-000836
52.043191,-2.170308,1/29/2021 8:56,SEZHUK-210127-000836
52.043192,-2.170311,1/29/2021 8:56,SEZHUK-210127-000836
52.043195,-2.170317,1/29/2021 8:56,SEZHUK-210127-000836
52.043214,-2.170331,1/29/2021 8:56,SEZHUK-210127-000836
52.043128,-2.170171,1/29/2021 8:57,SEZHUK-210127-000836
52.043209,-2.169783,1/29/2021 8:57,SEZHUK-210127-000836
52.043202,-2.170388,1/29/2021 8:57,SEZHUK-210127-000836
52.043199,-2.170237,1/29/2021 8:57,SEZHUK-210127-000836
52.043227,-2.17024,1/29/2021 8:57,SEZHUK-210127-000836
52.043227,-2.170215,1/29/2021 8:57,SEZHUK-210127-000836
52.04323,-2.170223,1/29/2021 8:58,SEZHUK-210127-000836
52.043239,-2.170453,1/29/2021 8:58,SEZHUK-210127-000836
52.043207,-2.170268,1/29/2021 8:58,SEZHUK-210127-000836
52.043245,-2.170252,1/29/2021 8:58,SEZHUK-210127-000836
52.043237,-2.170258,1/29/2021 8:59,SEZHUK-210127-000836
52.043219,-2.170255,1/29/2021 8:59,SEZHUK-210127-000836
52.043232,-2.17024,1/29/2021 8:59,SEZHUK-210127-000836
52.043231,-2.170237,1/29/2021 8:59,SEZHUK-210127-000836
52.043237,-2.170239,1/29/2021 9:00,SEZHUK-210127-000836
52.043234,-2.170249,1/29/2021 9:00,SEZHUK-210127-000836
52.04323,-2.170257,1/29/2021 9:00,SEZHUK-210127-000836
52.043226,-2.170274,1/29/2021 9:00,SEZHUK-210127-000836
52.043225,-2.170281,1/29/2021 9:01,SEZHUK-210127-000836
52.043096,-2.170233,1/29/2021 9:01,SEZHUK-210127-000836
52.042977,-2.170312,1/29/2021 9:01,SEZHUK-210127-000836
52.043085,-2.170226,1/29/2021 9:01,SEZHUK-210127-000836
52.043308,-2.17018,1/29/2021 9:02,SEZHUK-210127-000836
52.043266,-2.170248,1/29/2021 9:02,SEZHUK-210127-000836
52.043232,-2.170287,1/29/2021 9:02,SEZHUK-210127-000836
52.042977,-2.170421,1/29/2021 9:02,SEZHUK-210127-000836
52.043228,-2.170325,1/29/2021 9:03,SEZHUK-210127-000836
52.043215,-2.17031,1/29/2021 9:03,SEZHUK-210127-000836
52.04321,-2.170277,1/29/2021 9:03,SEZHUK-210127-000836
52.043205,-2.170269,1/29/2021 9:03,SEZHUK-210127-000836
52.043195,-2.170265,1/29/2021 9:03,SEZHUK-210127-000836
52.043198,-2.17027,1/29/2021 9:03,SEZHUK-210127-000836
52.043201,-2.170265,1/29/2021 9:04,SEZHUK-210127-000836
52.043193,-2.170263,1/29/2021 9:04,SEZHUK-210127-000836
52.043198,-2.170265,1/29/2021 9:04,SEZHUK-210127-000836
52.043454,-2.170585,1/29/2021 9:04,SEZHUK-210127-000836
52.042968,-2.17019,1/29/2021 9:05,SEZHUK-210127-000836
52.043272,-2.170214,1/29/2021 9:05,SEZHUK-210127-000836
52.04324,-2.170362,1/29/2021 9:05,SEZHUK-210127-000836
52.043217,-2.170337,1/29/2021 9:05,SEZHUK-210127-000836
52.043216,-2.170333,1/29/2021 9:06,SEZHUK-210127-000836
52.043213,-2.170338,1/29/2021 9:06,SEZHUK-210127-000836
52.043258,-2.170277,1/29/2021 9:06,SEZHUK-210127-000836
52.043231,-2.170292,1/29/2021 9:06,SEZHUK-210127-000836
52.043214,-2.170285,1/29/2021 9:06,SEZHUK-210127-000836
52.101169,-2.187636,1/29/2021 9:06,SEZHUK-210127-000836
52.043209,-2.170295,1/29/2021 9:07,SEZHUK-210127-000836
52.043215,-2.170307,1/29/2021 9:07,SEZHUK-210127-000836
52.112388,-2.308056,1/29/2021 9:07,SEZHUK-210127-000836
52.04322,-2.170314,1/29/2021 9:07,SEZHUK-210127-000836
52.043213,-2.170314,1/29/2021 9:08,SEZHUK-210127-000836
52.043249,-2.170277,1/29/2021 9:08,SEZHUK-210127-000836
52.043226,-2.1704,1/29/2021 9:08,SEZHUK-210127-000836
52.043585,-2.170083,1/29/2021 9:08,SEZHUK-210127-000836
52.043107,-2.170511,1/29/2021 9:08,SEZHUK-210127-000836
52.0432,-2.170449,1/29/2021 9:08,SEZHUK-210127-000836
52.112604,-2.307202,1/29/2021 9:09,SEZHUK-210127-000836
52.043231,-2.170355,1/29/2021 9:09,SEZHUK-210127-000836
52.035925,-2.165188,1/29/2021 9:09,SEZHUK-210127-000836
52.044204,-2.14527,1/29/2021 9:09,SEZHUK-210127-000836
52.037293,-2.129295,1/29/2021 9:09,SEZHUK-210127-000836
51.995333,-2.123597,1/29/2021 9:09,SEZHUK-210127-000836
51.967585,-2.128263,1/29/2021 9:10,SEZHUK-210127-000836
51.91945,-2.147797,1/29/2021 9:10,SEZHUK-210127-000836
51.888495,-2.150969,1/29/2021 9:10,SEZHUK-210127-000836
51.863906,-2.163924,1/29/2021 9:10,SEZHUK-210127-000836
51.839693,-2.194504,1/29/2021 9:11,SEZHUK-210127-000836
51.820448,-2.223829,1/29/2021 9:11,SEZHUK-210127-000836
51.80497,-2.260886,1/29/2021 9:11,SEZHUK-210127-000836
51.768603,-2.312942,1/29/2021 9:11,SEZHUK-210127-000836
51.723546,-2.35433,1/29/2021 9:12,SEZHUK-210127-000836
51.713003,-2.374934,1/29/2021 9:12,SEZHUK-210127-000836
51.6719,-2.406299,1/29/2021 9:12,SEZHUK-210127-000836
51.656833,-2.425488,1/29/2021 9:12,SEZHUK-210127-000836
51.656542,-2.426347,1/29/2021 9:12,SEZHUK-210127-000836
51.655392,-2.431685,1/29/2021 9:12,SEZHUK-210127-000836
51.634217,-2.45497,1/29/2021 9:13,SEZHUK-210127-000836
51.591932,-2.491096,1/29/2021 9:13,SEZHUK-210127-000836
